MAL_ID,Score,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10,Ranked,Popularity
1,8.78,1580.0,741.0,1357.0,3184.0,8904.0,20688.0,62330.0,131625.0,182126.0,229170.0,28.0,39
5,8.39,379.0,109.0,221.0,577.0,1877.0,5805.0,22632.0,49505.0,49201.0,30043.0,159.0,518
6,8.24,533.0,316.0,664.0,1965.0,5838.0,15376.0,49432.0,86142.0,75651.0,50229.0,266.0,201
7,7.27,131.0,164.0,353.0,1083.0,2920.0,5709.0,11618.0,10128.0,4806.0,2182.0,2481.0,1467
8,6.98,27.0,50.0,83.0,265.0,634.0,1068.0,1713.0,1242.0,529.0,312.0,3710.0,4369
15,7.95,151.0,140.0,336.0,795.0,2621.0,6206.0,16734.0,22811.0,14904.0,9226.0,604.0,1003
16,8.06,321.0,278.0,484.0,1339.0,3148.0,5574.0,13062.0,20008.0,16309.0,11829.0,468.0,687
17,7.59,32.0,31.0,88.0,218.0,602.0,1286.0,3075.0,3102.0,1777.0,1123.0,1317.0,3612
18,8.15,259.0,48.0,97.0,369.0,1236.0,3874.0,12912.0,22379.0,15820.0,10948.0,360.0,1233
19,8.76,1177.0,593.0,882.0,2086.0,4381.0,8861.0,22045.0,43459.0,60652.0,77350.0,30.0,169
20,7.91,5310.0,3582.0,6098.0,15477.0,46886.0,108155.0,286175.0,345563.0,234481.0,216866.0,660.0,8
21,8.52,6340.0,2616.0,3675.0,8201.0,19019.0,35342.0,85424.0,141755.0,166186.0,292445.0,95.0,31
22,7.9,225.0,210.0,443.0,1071.0,3086.0,6624.0,16284.0,19791.0,12719.0,9576.0,675.0,1039
23,6.38,28.0,32.0,40.0,88.0,143.0,236.0,260.0,152.0,61.0,69.0,6493.0,7333
24,7.94,405.0,441.0,780.0,1897.0,5396.0,11034.0,27327.0,38112.0,27623.0,17907.0,625.0,514
25,7.42,297.0,350.0,643.0,1521.0,3079.0,6033.0,12702.0,12349.0,6664.0,3589.0,1844.0,1284
26,7.76,664.0,411.0,684.0,1456.0,2462.0,4429.0,8636.0,10851.0,8309.0,6856.0,896.0,823
27,7.32,298.0,456.0,873.0,2250.0,5392.0,10273.0,20152.0,17761.0,9759.0,6091.0,2240.0,936
28,7.95,58.0,56.0,118.0,345.0,1248.0,3038.0,7965.0,11074.0,7425.0,4347.0,609.0,1666
29,7.51,28.0,13.0,38.0,114.0,279.0,662.0,1696.0,1801.0,874.0,430.0,1565.0,3985
30,8.32,3714.0,3263.0,4408.0,9686.0,17571.0,38385.0,93532.0,157596.0,168056.0,186797.0,208.0,54
31,7.45,737.0,654.0,1042.0,2636.0,6313.0,12694.0,25396.0,23683.0,15245.0,13516.0,1742.0,833
32,8.51,2264.0,1941.0,2279.0,4493.0,7057.0,16444.0,41261.0,77593.0,95821.0,127081.0,102.0,195
33,8.49,842.0,456.0,671.0,1748.0,3899.0,9477.0,29055.0,60815.0,65906.0,58627.0,108.0,301
43,8.29,486.0,292.0,675.0,1842.0,5107.0,13704.0,39446.0,70881.0,65298.0,56237.0,236.0,265
44,8.73,490.0,106.0,163.0,448.0,1393.0,3575.0,11782.0,25800.0,33317.0,39845.0,37.0,637
45,8.31,314.0,176.0,372.0,1167.0,3867.0,10220.0,33295.0,57604.0,50380.0,38050.0,220.0,345
46,7.56,59.0,71.0,129.0,426.0,1310.0,2832.0,6557.0,6232.0,3683.0,2958.0,1397.0,2411
