,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
2585,2808,Irregular Hunter X: The Day of Sigma,7.21,"Action, Sci-Fi, Mecha, Shounen",Megaman X - The Day of Sigma,イレギュラーハンターＸ,OVA,1,"Dec 15, 2005",Unknown,Unknown,Capcom,Xebec,Game,30 min.,PG - Children,2742.0,4926,9906,66,148,7475,82,101,2100,541.0,592.0,1171.0,1524.0,844.0,450.0,119.0,53.0,25.0,19.0
5098,7643,Domo-kun,6.36,"Slice of Life, Comedy, Kids",Unknown,どーもくん,TV,37,"Dec 22, 1998 to Jan 1, 2008",Winter 1999,NHK,Unknown,dwarf,Original,39 sec. per ep.,G - All Ages,6598.0,8851,1979,7,299,477,168,265,770,66.0,45.0,72.0,136.0,106.0,68.0,27.0,11.0,11.0,23.0
13618,36401,Kozou no Koushin,Unknown,"Music, Kids",Baby Elephant Walk,子象の行進,Music,1,"Feb 5, 1976",Unknown,NHK,Unknown,Unknown,Music,2 min.,G - All Ages,15184.0,16586,112,0,6,64,2,15,25,6.0,Unknown,1.0,4.0,6.0,9.0,5.0,4.0,2.0,9.0
6918,13183,Fate/Zero Remix,7.07,"Action, Fantasy, Supernatural",Unknown,フェイト/ゼロ Remix,Special,2,"Mar 25, 2012 to Apr 1, 2012",Unknown,"Aniplex, Nitroplus, Aniplex of America",Unknown,ufotable,Light novel,24 min. per ep.,R - 17+ (violence & profanity),3353.0,3675,19788,12,575,9890,396,382,8545,630.0,512.0,1164.0,1980.0,1056.0,539.0,147.0,63.0,40.0,51.0
5152,7775,Futatsu no Kurumi,6.51,Drama,Unknown,ふたつの胡桃,Special,1,"Aug 15, 2007",Unknown,TV Asahi,Unknown,Shin-Ei Animation,Unknown,46 min.,PG - Children,5855.0,10685,898,1,24,421,21,39,393,17.0,23.0,49.0,92.0,81.0,36.0,20.0,7.0,4.0,3.0
11254,32160,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,6.9,"Action, Music, Comedy, Magic, Fantasy, Shoujo",Unknown,映画プリキュアオールスターズ みんなで歌う♪奇跡の魔法！,Movie,1,"Mar 19, 2016",Unknown,Kinoshita Group Holdings,Unknown,Toei Animation,Original,1 hr. 10 min.,G - All Ages,4010.0,8266,2519,4,79,1492,40,70,838,100.0,85.0,179.0,278.0,165.0,87.0,33.0,19.0,12.0,7.0
7384,16131,Machine Robo: Butchigiri Battle Hackers,Unknown,"Action, Mecha, Sci-Fi",Unknown,マシンロボ ぶっちぎりバトルハッカーズ,TV,31,"Jun 3, 1987 to Dec 30, 1987",Summer 1987,"TV Tokyo, Trans Arts, Ashi Production",Unknown,Unknown,Unknown,25 min. per ep.,PG-13 - Teens 13 or older,15343.0,11959,535,0,30,151,21,61,272,10.0,1.0,8.0,19.0,22.0,19.0,7.0,2.0,1.0,6.0
7656,17423,Pink Lady Monogatari: Eikou no Tenshi-tachi,Unknown,"Music, Slice of Life, Drama",Unknown,ピンク・レディー物語 栄光の天使たち,TV,33,"Oct 24, 1978 to Jun 12, 1979",Fall 1978,Unknown,Unknown,Toei Animation,Other,25 min. per ep.,G - All Ages,11551.0,13080,346,0,22,62,8,56,198,5.0,Unknown,1.0,5.0,2.0,6.0,6.0,Unknown,1.0,4.0
4618,6509,Kiteretsu Daihyakka,6.66,"Comedy, Drama, Kids, Slice of Life",Kiteretsu Encyclopedia,キテレツ大百科,TV,331,"Mar 27, 1988 to Jun 9, 1996",Spring 1988,Fuji TV,Unknown,Gallop,Manga,25 min. per ep.,PG - Children,5079.0,7484,3441,12,132,2119,202,553,435,107.0,152.0,316.0,594.0,455.0,292.0,76.0,27.0,32.0,23.0
11860,33358,Mahou no Star Magical Emi: Finale! Finale!,Unknown,"Comedy, Magic, Shoujo",Unknown,魔法のスター マジカルエミ フィナーレ! フィナーレ!,OVA,1,"May 25, 1986",Unknown,Unknown,Unknown,Studio Pierrot,Original,17 min.,G - All Ages,15365.0,12794,378,0,19,130,8,37,184,5.0,4.0,4.0,17.0,15.0,18.0,3.0,3.0,2.0,5.0
8924,23399,Minami no Shima no Dera-chan,6.51,"Comedy, Slice of Life",Unknown,南の島のデラちゃん,Movie,1,"Apr 26, 2014",Unknown,Unknown,Unknown,Kyoto Animation,Original,5 min.,PG-13 - Teens 13 or older,5870.0,3748,18787,4,443,11285,244,162,6653,350.0,379.0,952.0,2132.0,2144.0,1048.0,313.0,124.0,62.0,48.0
13894,36825,Pokemon Diamond & Pearl: Clip Show,6.21,"Action, Adventure, Comedy, Fantasy, Kids",Unknown,ポケットモンスター ダイヤモンド&パール,Special,1,"Sep 28, 2006",Unknown,TV Tokyo,Unknown,OLM,Game,24 min.,PG - Children,7286.0,8252,2543,0,80,1444,59,85,875,61.0,27.0,87.0,176.0,226.0,153.0,53.0,22.0,14.0,15.0
16508,41100,Keshikko,Unknown,"Music, Kids",Keshiko,ケシっこ,ONA,Unknown,"Jan 7, 2019 to ?",Unknown,Kamio Japan,Unknown,Unknown,Original,1 min.,G - All Ages,14999.0,17273,64,0,14,0,8,16,26,1.0,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,1.0,3.0
10379,30145,Harukanaru Toki no Naka de: Hachiyou Shou Recap,6.05,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",Unknown,遙かなる時空の中で〜八葉抄〜 総集編,Special,1,"Jul 28, 2006",Unknown,Yumeta Company,Unknown,Unknown,Visual novel,32 min.,PG-13 - Teens 13 or older,8020.0,11211,730,0,36,280,20,35,359,12.0,15.0,9.0,22.0,39.0,31.0,10.0,7.0,7.0,5.0
5972,9911,Houkago no Pleiades,6.15,Magic,Wish Upon the Pleiades,放課後のプレアデス,ONA,4,"Feb 1, 2011",Unknown,"Dentsu, Dentsu Razorfish, Dentsu Tec, SUBARU",Unknown,Gainax,Original,6 min. per ep.,G - All Ages,7568.0,3982,16504,12,361,11343,206,382,4212,293.0,383.0,919.0,1963.0,2113.0,1503.0,693.0,289.0,154.0,82.0
15563,39375,Muka Muka Paradise: Okaasan to Manabu Koutsuu Anzen,Unknown,Kids,Unknown,ムカムカパラダイス お母さんと学ぶ交通安全,OVA,1,1993,Unknown,Unknown,Unknown,Unknown,Manga,18 min.,G - All Ages,15703.0,17155,70,0,2,18,6,18,26,4.0,Unknown,1.0,3.0,2.0,Unknown,Unknown,3.0,1.0,3.0
14544,37888,Tian Yu,Unknown,"Action, Adventure, Demons, Fantasy, Magic",Revelation,天谕,ONA,13,"Apr 26, 2017 to Oct 11, 2017",Unknown,Unknown,Unknown,Sparkly Key Animation Studio,Game,13 min. per ep.,PG-13 - Teens 13 or older,12503.0,12189,488,3,65,106,25,45,247,11.0,2.0,13.0,27.0,21.0,16.0,3.0,4.0,3.0,3.0
12601,34754,Rilu Rilu Fairilu: Yousei no Door,6.6,"Slice of Life, Magic, Fantasy",Unknown,リルリルフェアリル～妖精のドア～,TV,59,"Feb 6, 2016 to Mar 25, 2017",Winter 2016,Sotsu,Unknown,Studio Deen,Original,24 min. per ep.,G - All Ages,5388.0,8973,1898,11,222,243,154,185,1094,26.0,23.0,57.0,57.0,40.0,36.0,20.0,12.0,2.0,8.0
3702,4537,Yagami-kun no Katei no Jijou,6.18,Comedy,Unknown,八神くんの家庭の事情,OVA,3,"May 25, 1990",Unknown,Kitty Films,Unknown,Production I.G,Manga,30 min. per ep.,PG-13 - Teens 13 or older,7470.0,9879,1309,5,56,641,29,65,518,23.0,26.0,61.0,117.0,103.0,67.0,44.0,30.0,7.0,12.0
