,Unnamed: 0,MAL_ID,Name,Genres,English name,Type,Episodes,Aired,Producers,Licensors,Studios,Source,Duration,Rating
2585,2585,2808,Irregular Hunter X: The Day of Sigma,"['Action', 'Sci-Fi', 'Mecha', 'Shounen']",Megaman X - The Day of Sigma,OVA,1.0,"[datetime.datetime(2005, 12, 15, 0, 0)]",['Unknown'],['Capcom'],Xebec,Game,30.0,PG
5098,5098,7643,Domo-kun,"['Slice of Life', 'Comedy', 'Kids']",,TV,37.0,"[datetime.datetime(1998, 12, 22, 0, 0), datetime.datetime(2008, 1, 1, 0, 0)]",['NHK'],['Unknown'],dwarf,Original,0.0,G
13618,13618,36401,Kozou no Koushin,"['Music', 'Kids']",Baby Elephant Walk,Music,1.0,"[datetime.datetime(1976, 2, 5, 0, 0)]",['NHK'],['Unknown'],,Music,2.0,G
6918,6918,13183,Fate/Zero Remix,"['Action', 'Fantasy', 'Supernatural']",,Special,2.0,"[datetime.datetime(2012, 3, 25, 0, 0), datetime.datetime(2012, 4, 1, 0, 0)]","['Aniplex', 'Nitroplus', 'Aniplex of America']",['Unknown'],ufotable,Light novel,24.0,R
5152,5152,7775,Futatsu no Kurumi,['Drama'],,Special,1.0,"[datetime.datetime(2007, 8, 15, 0, 0)]",['TV Asahi'],['Unknown'],Shin-Ei Animation,,46.0,PG
11254,11254,32160,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,"['Action', 'Music', 'Comedy', 'Magic', 'Fantasy', 'Shoujo']",,Movie,1.0,"[datetime.datetime(2016, 3, 19, 0, 0)]",['Kinoshita Group Holdings'],['Unknown'],Toei Animation,Original,70.0,G
7384,7384,16131,Machine Robo: Butchigiri Battle Hackers,"['Action', 'Mecha', 'Sci-Fi']",,TV,31.0,"[datetime.datetime(1987, 6, 3, 0, 0), datetime.datetime(1987, 12, 30, 0, 0)]","['TV Tokyo', 'Trans Arts', 'Ashi Production']",['Unknown'],,,25.0,PG13
7656,7656,17423,Pink Lady Monogatari: Eikou no Tenshi-tachi,"['Music', 'Slice of Life', 'Drama']",,TV,33.0,"[datetime.datetime(1978, 10, 24, 0, 0), datetime.datetime(1979, 6, 12, 0, 0)]",['Unknown'],['Unknown'],Toei Animation,Other,25.0,G
4618,4618,6509,Kiteretsu Daihyakka,"['Comedy', 'Drama', 'Kids', 'Slice of Life']",Kiteretsu Encyclopedia,TV,331.0,"[datetime.datetime(1988, 3, 27, 0, 0), datetime.datetime(1996, 6, 9, 0, 0)]",['Fuji TV'],['Unknown'],Gallop,Manga,25.0,PG
11860,11860,33358,Mahou no Star Magical Emi: Finale! Finale!,"['Comedy', 'Magic', 'Shoujo']",,OVA,1.0,"[datetime.datetime(1986, 5, 25, 0, 0)]",['Unknown'],['Unknown'],Studio Pierrot,Original,17.0,G
8924,8924,23399,Minami no Shima no Dera-chan,"['Comedy', 'Slice of Life']",,Movie,1.0,"[datetime.datetime(2014, 4, 26, 0, 0)]",['Unknown'],['Unknown'],Kyoto Animation,Original,5.0,PG13
13894,13894,36825,Pokemon Diamond & Pearl: Clip Show,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",,Special,1.0,"[datetime.datetime(2006, 9, 28, 0, 0)]",['TV Tokyo'],['Unknown'],OLM,Game,24.0,PG
16508,16508,41100,Keshikko,"['Music', 'Kids']",Keshiko,ONA,,"[datetime.datetime(2019, 1, 7, 0, 0), nan]",['Kamio Japan'],['Unknown'],,Original,1.0,G
10379,10379,30145,Harukanaru Toki no Naka de: Hachiyou Shou Recap,"['Fantasy', 'Magic', 'Supernatural', 'Demons', 'Historical', 'Shoujo']",,Special,1.0,"[datetime.datetime(2006, 7, 28, 0, 0)]",['Yumeta Company'],['Unknown'],,Visual novel,32.0,PG13
5972,5972,9911,Houkago no Pleiades,['Magic'],Wish Upon the Pleiades,ONA,4.0,"[datetime.datetime(2011, 2, 1, 0, 0)]","['Dentsu', 'Dentsu Razorfish', 'Dentsu Tec', 'SUBARU']",['Unknown'],Gainax,Original,6.0,G
15563,15563,39375,Muka Muka Paradise: Okaasan to Manabu Koutsuu Anzen,['Kids'],,OVA,1.0,"[datetime.datetime(1993, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Manga,18.0,G
14544,14544,37888,Tian Yu,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Magic']",Revelation,ONA,13.0,"[datetime.datetime(2017, 4, 26, 0, 0), datetime.datetime(2017, 10, 11, 0, 0)]",['Unknown'],['Unknown'],Sparkly Key Animation Studio,Game,13.0,PG13
12601,12601,34754,Rilu Rilu Fairilu: Yousei no Door,"['Slice of Life', 'Magic', 'Fantasy']",,TV,59.0,"[datetime.datetime(2016, 2, 6, 0, 0), datetime.datetime(2017, 3, 25, 0, 0)]",['Sotsu'],['Unknown'],Studio Deen,Original,24.0,G
3702,3702,4537,Yagami-kun no Katei no Jijou,['Comedy'],,OVA,3.0,"[datetime.datetime(1990, 5, 25, 0, 0)]",['Kitty Films'],['Unknown'],Production I.G,Manga,30.0,PG13
1722,1722,1891,YAT Anshin! Uchuu Ryokou,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",,TV,50.0,"[datetime.datetime(1996, 10, 5, 0, 0), datetime.datetime(1997, 9, 27, 0, 0)]",['NHK'],['Unknown'],"Xebec, Group TAC",Original,25.0,PG13
14285,14285,37476,Cardfight!! Vanguard (2018),"['Action', 'Game', 'Shounen']",,TV,52.0,"[datetime.datetime(2018, 5, 5, 0, 0), datetime.datetime(2019, 5, 4, 0, 0)]",['Unknown'],['Unknown'],OLM,Original,23.0,PG13
9999,9999,29391,Pinky Wakuwaku Tabi Stroll,['Slice of Life'],,ONA,7.0,"[datetime.datetime(2000, 12, 1, 0, 0), datetime.datetime(2000, 12, 25, 0, 0)]",['Unknown'],['Unknown'],,,1.0,G
882,882,977,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,"['Action', 'Sci-Fi', 'Hentai', 'Mecha', 'Yaoi']",The Legend of the Blue Wolves,OVA,1.0,"[datetime.datetime(1996, 12, 18, 0, 0)]",['Unknown'],['Media Blasters'],Phoenix Entertainment,Original,45.0,Rx
1229,1229,1360,Makai Tenshi Djibril,['Hentai'],Jiburiru:The Devil Angel,OVA,4.0,"[datetime.datetime(2004, 11, 26, 0, 0), datetime.datetime(2005, 6, 24, 0, 0)]","['Animac', 'JapanAnime']",['Unknown'],,Visual novel,30.0,Rx
12745,12745,34999,Kiitarou Shounen no Youkai Enikki: Jonan no Saijitsu,"['Comedy', 'Ecchi', 'Supernatural']",,Special,1.0,"[datetime.datetime(2017, 1, 27, 0, 0)]",['Unknown'],['Unknown'],Creators in Pack,Web manga,4.0,PG13
10038,10038,29493,Kyouryou Pikora,"['Kids', 'Adventure']",,Special,1.0,"[datetime.datetime(1995, 8, 1, 0, 0)]",['NHK'],['Unknown'],,,5.0,PG
5642,5642,9107,Pokemon Best Wishes!,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Pokémon:Black & White,TV,84.0,"[datetime.datetime(2010, 9, 23, 0, 0), datetime.datetime(2012, 6, 14, 0, 0)]","['TV Tokyo', 'MediaNet', 'Half H.P Studio', 'Studio Jack']","['VIZ Media', 'The Pokemon Company International']",OLM,Game,22.0,PG
3529,3529,4162,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,"['Action', 'Police', 'Comedy', 'Seinen']",You're Under Arrest:Diverting Traffic at the Beach,Special,1.0,"[datetime.datetime(1997, 1, 1, 0, 0)]","['Bandai Visual', 'TBS']",['AnimEigo'],Studio Deen,Manga,24.0,PG13
9454,9454,26101,Boku to Gaku: Ano Natsu no Monogatari,"['Historical', 'Drama', 'Kids']",,OVA,1.0,"[datetime.datetime(2009, 1, 1, 0, 0)]",['Unknown'],['Unknown'],Toei Animation,,42.0,G
5256,5256,8156,Gegege no Kitarou: Obake Nighter,"['Sports', 'Demons', 'Supernatural']",Spooky Kitaro:The Obake Nighter,Movie,1.0,"[datetime.datetime(1997, 3, 8, 0, 0)]",['Unknown'],['Unknown'],Toei Animation,Manga,30.0,G
10707,10707,30905,Owanko,['Comedy'],,ONA,7.0,"[datetime.datetime(2012, 11, 22, 0, 0), datetime.datetime(2014, 4, 18, 0, 0)]",['Unknown'],['Unknown'],Production Reed,,1.0,G
15441,15441,39209,Just a Seeker's Song,"['Dementia', 'Music']",Just a Seeker's Song,Music,1.0,"[datetime.datetime(2007, 1, 1, 0, 0)]",['Victor Entertainment'],['Unknown'],,Original,4.0,PG
